state,org_id,cat_id,records_breached,records_breached_detail,name,total_records,category,entity_type,location,dt,breach_source,breach_type,type,cat_name,company_name,source_type,region,breach_id
,200000037,17,NA,NA,BigMoneyJobs.com,"36,802",Payer (Insurer),BSO,Uknown,4/6/2014,Media,HACK,Breaches,Payer (Insurer),BigMoneyJobs.com,Breaches,,5
,200000391,29,NA,NA,ICANN.org,0,Researcher,NGO,"Los Angeles, CA 90094-2536",8/12/2015,California Attorney General,HACK,Breaches,Researcher,ICANN.org,Breaches,,6
,200000467,17,NA,NA,Rockland Nissan,0,Payer (Insurer),BSO,Blauvelt,11/27/2015,Media,INSD,Breaches,Payer (Insurer),Rockland Nissan,Breaches,,7
,200000535,17,NA,NA,Unconfirmed,"191,000,000",Payer (Insurer),BSO,Unknown,12/28/2015,,DISC,Breaches,Payer (Insurer),Unconfirmed,Breaches,,8
,200000800,23,NA,NA,Pennsylvania Revenue Department,865,Public Health,GOV,Harrisburg,7/12/2016,Media,PORT,Breaches,Public Health,Pennsylvania Revenue Department,Breaches,,9
,200000811,17,NA,NA,San Antonio Shoemakers,0,Payer (Insurer),BSO,San Antonio,7/19/2016,California Attorney General,HACK,Breaches,Payer (Insurer),San Antonio Shoemakers,Breaches,,10
,200001224,29,NA,NA,"Triple-S Salud, Inc. - Breach Case#2","398,000",Researcher,MED,,1/24/2014,US Department of Health and Human Services,PHYS,Breaches,Researcher,"Triple-S Salud, Inc. - Breach Case#2",Breaches,,11
,200001296,28,NA,NA,Administracion de Seguros de Salud - Triple S Salud Inc (BA),"46,473",Discharge Data,MED,,4/15/2014,US Department of Health and Human Services,PHYS,Breaches,Discharge Data,Administracion de Seguros de Salud - Triple S Salud Inc (BA),Breaches,,12
,200001365,28,NA,NA,Administracion de Seguros de Salud - Triple S Salud Inc (BA),"7,911",Discharge Data,MED,,7/18/2014,US Department of Health and Human Services,DISC,Breaches,Discharge Data,Administracion de Seguros de Salud - Triple S Salud Inc (BA),Breaches,,13
,200001576,23,NA,NA,Puerto Rico Department of Heatlh - Medicaid Program,500,Public Health,MED,,4/22/2015,US Department of Health and Human Services,PHYS,Breaches,Public Health,Puerto Rico Department of Heatlh - Medicaid Program,Breaches,,14
,200002219,15,NA,NA,Texas Association of School Boards,"6,100",Employer,GOV,Corpus Chrisit,6/27/2017,Media,DISC,Breaches,Employer,Texas Association of School Boards,Breaches,,15
,200002604,15,NA,NA,ABB Inc.,0,Employer,BSO,,9/11/2017,California Attorney General,HACK,Breaches,Employer,ABB Inc.,Breaches,,16
,200002712,38,NA,NA,Lovense,0,Media,BSO,Hong Kong,11/11/2017,Media,PHYS,Breaches,Media,Lovense,Breaches,,17
,200002781,17,NA,NA,"Kaiser Foundation Health Plan, Inc.",,Payer (Insurer),MED,,12/18/2017,California Attorney General,DISC,Breaches,Payer (Insurer),"Kaiser Foundation Health Plan, Inc.",Breaches,,18
,200002785,15,NA,NA,"Jason's Deli - Deli Management, Inc. ","2,000,000",Employer,BSR,,1/15/2018,Government Agency,CARD,Breaches,Employer,"Jason's Deli - Deli Management, Inc. ",Breaches,,19
,200002786,18,NA,NA,WEI Mortgage,263,"Physician, Hospital",BSF,,1/3/2018,Government Agency,HACK,Breaches,"Physician, Hospital",WEI Mortgage,Breaches,,20
